id,lat,long
1,-38.33178,-55.191443
2,-38.286841,-55.10848
3,-38.364006,-55.106376
4,-38.407829,-54.579591
5,-38.563395,-54.354899
6,-38.801903,-53.922801
7,-38.947088,-53.546011
8,-40.976224,-56.200825
9,-41.12409,-55.924282
10,-41.21899,-55.682307
11,-41.861162,-57.659591
12,-42.054743,-57.037369
13,-53.787088,-62.208727
14,-53.740422,-61.811196
15,-53.755977,-61.940825
16,-53.769804,-62.099838
17,-53.794002,-62.338356
18,-53.873508,-62.595887
